Birth frame,Birth ID,End frame,End ID,End of Movie,Died1,FUCCI_ON_FRAME,Questionable1,Questionable2,Notes,Birthtimeh,Lifetimeh,EOM,died,G1_time,S_G2_M_time,Match
26,A,454,,TRUE,,,,,,6.7,110.6,TRUE,FALSE,110.6,0,
26,B,81,B,,,49,,,,6.7,14.2,FALSE,FALSE,5.9,8.3,
26,B,86,A,,,57,,,,6.7,15.5,FALSE,FALSE,8,7.5,
27,A,296,A,,,237,,,,7,69.5,FALSE,FALSE,54.3,15.2,
27,A,454,,TRUE,,,,,,7,110.3,TRUE,FALSE,110.3,0,
28,A,107,A,,,70,,,,7.2,20.4,FALSE,FALSE,10.9,9.6,
28,A,307,A,,,247,,,,7.2,72.1,FALSE,FALSE,56.6,15.5,
28,B,335,A,,,270,,,,7.2,79.3,FALSE,FALSE,62.5,16.8,
28,B,454,,TRUE,,,,,,7.2,110.1,TRUE,FALSE,110.1,0,
29,A,279,B,,,220,,,,7.5,64.6,FALSE,FALSE,49.3,15.2,
29,A,287,B,,,228,,,,7.5,66.7,FALSE,FALSE,51.4,15.2,
30,A,283,A,,,219,,,,7.8,65.4,FALSE,FALSE,48.8,16.5,
30,A,367,A,,,304,,,,7.8,87.1,FALSE,FALSE,70.8,16.3,
30,B,281,A,,,215,,,,7.8,64.8,FALSE,FALSE,47.8,17.1,
30,B,454,,TRUE,,246,,,FUCCI goes off at frame 330 without the cell dividing ,7.8,109.5,TRUE,FALSE,55.8,53.7,
30,C,322,A,,,264,,,,7.8,75.4,FALSE,FALSE,60.5,15,
30,C,454,,TRUE,,376,,,Cell has not divided by the end of the movie; FUCCI is still on,7.8,109.5,TRUE,FALSE,89.4,20.2,
30,D,454,,TRUE,,428,,,Cell has not divided by the end of the movie; FUCCI is still on,7.8,109.5,TRUE,FALSE,102.8,6.7,
30,D,454,,TRUE,,,,,,7.8,109.5,TRUE,FALSE,109.5,0,
31,A,454,,TRUE,,,,,,8,109.3,TRUE,FALSE,109.3,0,
31,A,454,,TRUE,,,,,,8,109.3,TRUE,FALSE,109.3,0,
31,B,363,A,,,300,,,,8,85.8,FALSE,FALSE,69.5,16.3,
31,B,454,,TRUE,,,,,,8,109.3,TRUE,FALSE,109.3,0,
31,C,129,B,,,84,,,,8,25.3,FALSE,FALSE,13.7,11.6,
31,C,454,,TRUE,,,,,,8,109.3,TRUE,FALSE,109.3,0,
31,D,173,A,,,136,,,,8,36.7,FALSE,FALSE,27.1,9.6,
31,D,454,,TRUE,,,,,,8,109.3,TRUE,FALSE,109.3,0,
31,E,454,,TRUE,,,,,,8,109.3,TRUE,FALSE,109.3,0,
31,E,454,,TRUE,,,,,,8,109.3,TRUE,FALSE,109.3,0,
32,A,363,B,,,301,,,,8.3,85.5,FALSE,FALSE,69.5,16,
32,A,393,A,,,331,,,,8.3,93.3,FALSE,FALSE,77.2,16,
32,B,371,A,,,284,,,,8.3,87.6,FALSE,FALSE,65.1,22.5,
32,B,365,B,,,296,,,,8.3,86,FALSE,FALSE,68.2,17.8,
32,C,92,B,,,63,,,,8.3,15.5,FALSE,FALSE,8,7.5,
32,C,348,A,,TRUE,265,,,,8.3,81.6,FALSE,TRUE,60.2,21.4,
32,D,300,A,,,250,,,,8.3,69.2,FALSE,FALSE,56.3,12.9,
32,D,430,A,,,362,,,,8.3,102.8,FALSE,FALSE,85.3,17.6,
32,E,116,A,,,79,,,,8.3,21.7,FALSE,FALSE,12.1,9.6,
32,E,373,A,,,314,,,,8.3,88.1,FALSE,FALSE,72.9,15.2,
32,F,366,B,,,326,TRUE,TRUE,FUCCI may have gone on earlier but the cell was partially out of the focal plane ,8.3,86.3,FALSE,FALSE,76,10.3,
32,F,414,A,,,373,TRUE,TRUE,FUCCI may have gone on earlier but the cell was partially out of the focal plane ,8.3,98.7,FALSE,FALSE,88.1,10.6,
